Label,File,Jf,Ja,Bandwidth,Power_dB
Croatia: Diver & DPV,RBW6737_20250724_094300.wav,0.8147802562598643,0.7284573636794981,2.0,-39.742386
Croatia: Diver & DPV,RBW6737_20250724_094400.wav,0.9121370536269066,0.8645803783470885,2.0,-39.34339
Croatia: Diver & DPV,RBW6737_20250724_094500.wav,0.9876311186296295,0.8442356159407808,2.0,-39.033707
Croatia: Diver & DPV,RBW6737_20250724_094600.wav,0.9488656663590532,0.8276635582397418,3.0,-41.28571
Croatia: Diver & DPV,RBW6737_20250724_094700.wav,0.9412353207259382,0.7798702820320039,3.0,-40.46927
Croatia: Diver & DPV,RBW6737_20250724_094800.wav,0.9125817087856044,0.8336886241101557,3.0,-39.999584
Croatia: Diver & DPV,RBW6737_20250724_094900.wav,0.7059109885775543,0.7068222993798976,3.0,-40.829483
Croatia: Diver & DPV,RBW6737_20250724_095000.wav,0.7617120311906106,0.750048177809188,8.0,-39.76492
Croatia: Diver & DPV,RBW6737_20250724_095100.wav,0.8348543989578681,0.8208955106800907,5.0,-39.689297
Croatia: Diver & DPV,RBW6737_20250724_095200.wav,0.81936495288484,0.8760032528471916,5.0,-39.784855
Croatia: Diver & DPV,RBW6737_20250724_095300.wav,0.8414443026020916,0.9077119333398821,5.0,-38.793625
Croatia: Diver & DPV,RBW6737_20250724_095400.wav,0.7856506440454983,0.9076879633230458,4.0,-39.693295
Croatia: Diver & DPV,RBW6737_20250724_095500.wav,0.8817906194219072,0.8735454784825613,3.0,-39.83484
Croatia: Diver & DPV,RBW6737_20250724_095600.wav,0.9006118736560316,0.8235669005617982,2.0,-38.80425
Croatia: Diver & DPV,RBW6737_20250724_095700.wav,0.897710630663195,0.8671523240532711,2.0,-38.574226
Croatia: Diver & DPV,RBW6737_20250724_095800.wav,0.7522472976057633,0.7941192445241695,8.0,-39.919582
Croatia: Diver & DPV,RBW6737_20250724_095900.wav,0.8837495436820643,0.7389193637124222,11.0,-38.28167
Croatia: Diver & DPV,RBW6737_20250724_100000.wav,0.747731713470443,0.7247113831366209,82.0,-39.54972
Croatia: Diver & DPV,RBW6737_20250724_100100.wav,0.7373097680936911,0.7206668092836734,4.0,-39.80867
Croatia: Diver & DPV,RBW6737_20250724_100200.wav,0.7102538535159414,0.7435494040974305,5.0,-40.774353
Croatia: Diver & DPV,RBW6737_20250724_100300.wav,0.7658042668165662,0.7772774497483711,4.0,-38.92859
Croatia: Diver & DPV,RBW6737_20250724_100400.wav,0.7394685675860956,0.7783841193331305,3.0,-38.150505
Croatia: Diver & DPV,RBW6737_20250724_100500.wav,0.7875017296086404,0.8133267183094087,3.0,-37.575787
Croatia: Diver & DPV,RBW6737_20250724_100600.wav,0.9377947039868304,0.8498735941353046,10.0,-38.76045
Croatia: Diver & DPV,RBW6737_20250724_100700.wav,0.9130226459589829,0.807159508304988,23.0,-38.71621
Croatia: Diver & DPV,RBW6737_20250724_100800.wav,0.9636169334885758,0.71163068342701,5.0,-11.969651
Croatia: Diver & DPV,RBW6737_20250724_100900.wav,0.9975507792063407,0.8568512841618011,28.0,-3.1249723
Croatia: Diver & DPV,RBW6737_20250724_101000.wav,0.9984712950781818,0.9617565280040044,32.0,-0.8514487
Croatia: Diver & DPV,RBW6737_20250724_162800.wav,0.91954749712538,0.6712561124979551,3.0,-42.048836
Croatia: Diver & DPV,RBW6737_20250724_162900.wav,0.9428333249340685,0.8942577453692545,10.0,-40.178837
Croatia: Diver & DPV,RBW6737_20250724_163000.wav,0.9447919280125676,0.8555181645879936,63.0,-40.6167
Croatia: Diver & DPV,RBW6737_20250724_163100.wav,0.9767740589703587,0.9519191298960378,3.0,-40.44541
Croatia: Diver & DPV,RBW6737_20250724_163200.wav,0.928156492064001,0.8786343668245973,3.0,-40.1075
Croatia: Diver & DPV,RBW6737_20250724_163300.wav,0.9858655503991379,0.7969335231731037,34.0,-39.951912
Croatia: Diver & DPV,RBW6737_20250724_163400.wav,0.9519379356780973,0.7877506473185313,13.0,-40.064503
Croatia: Diver & DPV,RBW6737_20250724_163500.wav,0.9243699478273228,0.8252217651861408,66.0,-41.490456
Croatia: Diver & DPV,RBW6737_20250724_163600.wav,0.927879125888149,0.8292443563529036,3.0,-41.305317
